,Unnamed: 0,number,value,params_hidden_layer_neuron_count,params_num_hermite_directional_coeffs,system_attrs_grid_id,system_attrs_search_space,state
70,70,70,,80,7,70,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
71,71,71,96.4,35,5,71,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
72,72,72,,65,7,72,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
73,73,73,,90,9,73,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
74,74,74,89.86,45,3,74,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
75,75,75,,70,5,75,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
76,76,76,,70,7,76,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
77,77,77,,45,8,77,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",PRUNED
78,78,78,95.24,35,4,78,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
79,79,79,89.88,35,3,79,"{'hidden_layer_neuron_count': [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100], 'num_hermite_directional_coeffs': [3, 4, 5, 6, 7, 8, 9, 10]}",COMPLETE
